"","lsoacode","z"
"391","E01000395",-3.2395541290993
"392","E01000396",-3.4481411084413
"393","E01000398",0.490827023217366
"394","E01000399",-1.47891813999121
"395","E01000400",-1.23857890100131
"396","E01000401",0.218599230201151
"397","E01000402",1.51157470625243
"398","E01000403",2.98396404395621
"399","E01000404",6.0106887086861
"400","E01000405",2.00405434575824
"401","E01000406",0.901929689546459
"402","E01000407",-1.27837357779604
"403","E01000408",1.62813024804456
"404","E01000409",-2.93300225976164
"405","E01000410",-2.18102153528331
"406","E01000411",-2.91021645741874
"407","E01000412",-2.29385838271228
"408","E01000413",-2.43697399940851
"409","E01000414",0.317300657174378
"410","E01000415",-3.24790539142997
"411","E01000416",3.59571889053202
"412","E01000417",0.74580724167455
"413","E01000418",1.63623881500782
"414","E01000419",-2.81255793731251
"415","E01000420",-3.06673177451939
"416","E01000421",-3.28523301726935
"417","E01000422",8.04431258074533
"418","E01000423",-3.62846008907941
"419","E01000424",-2.60030696726822
"420","E01000425",-3.55446730035815
"421","E01000426",-1.09271715340494
"422","E01000427",-0.934006063725794
"423","E01000428",1.5785371257019
"424","E01000429",6.69005919589852
"425","E01000430",1.56679633594446
"426","E01000431",5.93030460879727
"427","E01000432",1.76233539245123
"428","E01000433",4.13596722782818
"429","E01000434",4.52602916672379
"430","E01000435",1.50292950127139
"431","E01000436",-3.22612434903598
"432","E01000437",-2.08594345420495
"433","E01000438",-1.24459412533323
"434","E01000439",-0.00503412150715674
"435","E01000440",-3.61307332655167
"436","E01000441",0.921353648594892
"437","E01000442",-2.19327674305577
"438","E01000443",-1.35028618571918
"439","E01000444",-3.724388794524
"440","E01000445",-3.43519143643541
"441","E01000446",-3.03573999992904
"442","E01000447",-1.08792083966799
"443","E01000448",-4.07374068472886
"444","E01000449",-3.10165275001886
"445","E01000450",-0.405875107460716
"446","E01000451",-2.43756192800865
"447","E01000452",-3.05942266331891
"448","E01000453",-2.74391326754634
"449","E01000454",-0.896303452398549
"450","E01000455",-2.72241983876093
"451","E01000456",-3.07974999223962
"452","E01000457",0.151394680091861
"453","E01000458",-2.51503301058928
"454","E01000459",0.016641016035476
"455","E01000460",-3.70408243897122
"456","E01000461",-3.73408485469638
"457","E01000462",-0.274676688733645
"458","E01000463",-3.41297919297767
"459","E01000464",5.30970838307391
"460","E01000465",7.25214213309554
"461","E01000466",5.91915180674728
"462","E01000467",4.83488054296622
