"","GEOCODE","CDUID.x","GEOLABEL","allHouses","lt1PPerRoom","gt1PPerRoom","pcGt1PPerRoom","CDUID.y","allHouseholds","ownerOccupied","notOO","pcNotOO"
"59","E07000006",1211065,"South Bucks",26514,26270,244,0.92,1211065,26514,19453,7061,26.63
"60","E07000007",1211066,"Wycombe",67861,66369,1492,2.2,1211066,67861,47279,20582,30.33
"61","E07000008",1211067,"Cambridge",46714,45685,1029,2.2,1211067,46714,22171,24543,52.54
"62","E07000009",1211068,"East Cambridgeshire",34614,34305,309,0.89,1211068,34614,23719,10895,31.48
"63","E07000010",1211069,"Fenland",40620,40065,555,1.37,1211069,40620,28436,12184,30
"64","E07000011",1211070,"Huntingdonshire",69333,68649,684,0.99,1211070,69333,49398,19935,28.75
"65","E07000012",1211071,"South Cambridgeshire",59960,59393,567,0.95,1211071,59960,42129,17831,29.74
"66","E07000026",1211072,"Allerdale",42345,42093,252,0.6,1211072,42345,29217,13128,31
"67","E07000027",1211073,"Barrow-in-Furness",31224,31005,219,0.7,1211073,31224,22938,8286,26.54
"68","E07000028",1211074,"Carlisle",48342,47958,384,0.79,1211074,48342,32999,15343,31.74
"69","E07000029",1211075,"Copeland",30536,30306,230,0.75,1211075,30536,21671,8865,29.03
"70","E07000030",1211076,"Eden",23043,22936,107,0.46,1211076,23043,16258,6785,29.44
"71","E07000031",1211077,"South Lakeland",46552,46305,247,0.53,1211077,46552,33967,12585,27.03
"72","E07000032",1211078,"Amber Valley",52596,52224,372,0.71,1211078,52596,38974,13622,25.9
"73","E07000033",1211079,"Bolsover",32801,32531,270,0.82,1211079,32801,21963,10838,33.04
"74","E07000034",1211080,"Chesterfield",46796,46382,414,0.88,1211080,46796,29547,17249,36.86
"75","E07000035",1211081,"Derbyshire Dales",30744,30562,182,0.59,1211081,30744,22269,8475,27.57
"76","E07000036",1211082,"Erewash",48692,48312,380,0.78,1211082,48692,35290,13402,27.52
"77","E07000037",1211083,"High Peak",38946,38642,304,0.78,1211083,38946,28059,10887,27.95
"78","E07000038",1211084,"North East Derbyshire",43070,42768,302,0.7,1211084,43070,30531,12539,29.11
"79","E07000039",1211085,"South Derbyshire",38992,38692,300,0.77,1211085,38992,29416,9576,24.56
"80","E07000040",1211086,"East Devon",59071,58635,436,0.74,1211086,59071,44283,14788,25.03
"81","E07000041",1211087,"Exeter",49242,48569,673,1.37,1211087,49242,29443,19799,40.21
"82","E07000042",1211088,"Mid Devon",32758,32433,325,0.99,1211088,32758,22626,10132,30.93
"83","E07000043",1211089,"North Devon",40001,39642,359,0.9,1211089,40001,27383,12618,31.54
"84","E07000044",1211090,"South Hams",36858,36584,274,0.74,1211090,36858,26440,10418,28.27
"85","E07000045",1211091,"Teignbridge",54003,53584,419,0.78,1211091,54003,39678,14325,26.53
"86","E07000046",1211092,"Torridge",27986,27799,187,0.67,1211092,27986,19998,7988,28.54
"87","E07000047",1211093,"West Devon",22725,22557,168,0.74,1211093,22725,16630,6095,26.82
"88","E07000048",1211094,"Christchurch",21475,21301,174,0.81,1211094,21475,15967,5508,25.65
